a	/ɑ/
aa	/aː/
aen	/aːən/
aacht	/aːχt/
aachten	/aːχtən/
aachtafofzeg	/aːʁdɑfoftsəɕ/
aachtafofzegst	/aːʁdɑfoftsəɕst/
aachtanachzeg	/aːχtɑnɑχtsəɕ/
aachtanachzegst	/aːχtɑnɑχtsəɕst/
aachtandrësseg	/aːχtɑndʀəsəɕ/
aachtandrëssegst	/aːχtɑndʀəsəɕst/
aachtannonzeg	/aːχtɑnnontsəɕ/
aachtannonzegst	/aːχtɑnnontsəɕst/
aachtanuechzeg	/aːχtɑnuəɕtsəɕ/
aachtanuechzegst	/aːχtɑnuəɕtsəɕst/
aachtanzwanzeg	/aːχtɑntswɑntsəɕ/
aachtanzwanzegst	/aːχtɑntswɑntsəɕst/
aachtasechzeg	/aːχtɑzæɕtsəɕ/
aachtasechzegst	/aːχtɑzæɕtsəɕst/
aachtasiechzeg	/aːχtɑziəɕtsəɕ/
aachtasiechzegst	/aːχtɑziəɕtsəɕst/
aachtasiwwenzeg	/aːχtɑzivəntsəɕ/
aachtasiwwenzegst	/aːχtɑzivəntsəɕst/
aachtavéierzeg	/aːχtɑfɜɪɐtsəɕ/
aachtavéierzegst	/aːχtɑfɜɪɐtsəɕst/
aachtchen	/aːχtɕən/
aachtercher	/aːχtɐɕɐ/
aachtel	/aːχtəl/
aachtfach	/aːχtfɑχ/
aachtmol	/aːχtmoːl/
aangel	/aːŋəl/
aangelen	/aːŋələn/
aangelsbierg	/aːŋəlsbiːɐɕ/
aansebuerg	/aːnsəbuːɐɕ/
aarbecht	/aːɐbəɕt/
aarbechten	/aːɐbəɕtən/
aarbechter	/aːɐbəɕtɐ/
aarbechterfamill	/aːɐbəɕtɐfɑmil/
aarbechterfamillen	/aːɐbəɕtɐfɑmilən/
aarbechterin	/aːɐbəɕtəʀin/
aarbechterinnen	/aːɐbəɕtəʀinən/
aarbechterklass	/aːɐbəɕtɐklɑs/
aarbechtsaccident	/aːɐbəɕtsɑksidænt/
aarbechtsaccidenter	/aːɐbəɕtsɑksidæntɐ/
aarbechtsamt	/aːɐbəɕtsɑmt/
aarbechtsämter	/aːɐbəɕtsæmtɐ/
aarbechtsbedéngungen	/aːɐbəɕtsbədeŋuŋən/
aarbechtsbedingungen	/aːɐbəɕtsbədiŋguŋən/
aarbechtsdag	/aːɐbəɕtsdaːχ/
aarbechtsdeeg	/aːɐbəɕtsdeːɕ/
aarbechtsdokter	/aːɐbəɕtsdoktɐ/
aarbechtsdokteren	/aːɐbəɕtsdoktəʀən/
aarbechtsdoktesch	/aːɐbəɕtsdoktəʃ/
aarbechtsdokteschen	/aːɐbəɕtsdoktəʃən/
aarbechtserlaabnes	/aːɐbəɕtsɐlaːbnəs/
aarbechtserlaabnesser	/aːɐbəɕtsɐlaːbnəsɐ/
